,"Дата, время начала","НЯ, ОЯ, КНЯ",Тип явления,Критерий,чрезвычайная пожарная опасность,заморозки,сильный ветер,сильный дождь,сильное гололедно-изморозевое отложение на проводах,аномально жаркая погода,налипание мокрого снега при сильном ветре,гололед,сильный мокрый снег,сильный снег,половодье,паводок,шквал,аномально холодная погода,сильный мороз,град,ливень,сильный ливень,туман
2939,2013-06-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2938,2013-06-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937,2013-06-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,2013-06-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,2013-06-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,2013-06-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,2013-06-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2932,2013-06-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,2013-06-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2930,2013-06-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,2013-06-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2928,2013-06-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2927,2013-06-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3645,2013-06-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,2013-06-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,2013-06-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2924,2013-06-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2923,2013-06-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,2013-06-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,2013-06-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,2013-06-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,2013-06-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,2013-06-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,2013-07-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3644,2013-07-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,2013-07-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2915,2013-07-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3643,2013-07-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3642,2013-07-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3641,2013-07-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3640,2013-07-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3639,2013-07-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3638,2013-07-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3637,2013-07-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3636,2013-07-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635,2013-07-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3634,2013-07-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3633,2013-07-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3632,2013-07-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,2013-07-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3630,2013-07-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3629,2013-07-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3628,2013-07-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3627,2013-07-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3626,2013-07-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3625,2013-07-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624,2013-07-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3623,2013-07-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3622,2013-07-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621,2013-07-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620,2013-07-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619,2013-07-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3618,2013-07-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3617,2013-07-31,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3616,2013-08-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3615,2013-08-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,2013-08-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613,2013-08-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3612,2013-08-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3611,2013-08-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3610,2013-08-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3609,2013-08-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3608,2013-08-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3607,2013-08-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3606,2013-08-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3605,2013-08-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3604,2013-08-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3603,2013-08-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3602,2013-08-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3601,2013-08-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,2013-08-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3599,2013-08-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3598,2013-08-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3597,2013-08-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596,2013-08-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3595,2013-08-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3594,2013-08-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3593,2013-08-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3592,2013-08-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3591,2013-08-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3590,2013-08-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3589,2013-08-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3588,2013-08-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3587,2013-08-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3586,2013-08-31,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3585,2013-09-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3584,2013-09-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3583,2013-09-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3582,2013-09-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3581,2013-09-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3580,2013-09-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3579,2013-09-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3578,2013-09-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3577,2013-09-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3576,2013-09-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3575,2013-09-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3574,2013-09-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3573,2013-09-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3572,2013-09-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3571,2013-09-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3570,2013-09-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3569,2013-09-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3568,2013-09-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3567,2013-09-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3566,2013-09-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3565,2013-09-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3564,2013-09-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3563,2013-09-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3562,2013-09-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
