Time,Район_new,svet_prediction_score_1,svet_prediction_score_2,svet_prediction_score_3,svet_prediction_score_4,svet_prediction_score_5,svet_prediction_score_6
2018-01-03,Чердынский ГО,0,0,0,0,0,0
2018-01-03,Чернушинский ГО,1,0,0,0,1,0
2018-01-03,Чусовской ГО,1,0,1,0,0,0
2018-01-03,Юрлинский МО,0,0,0,0,0,0
2018-01-03,Юсьвинский МО,0,0,0,0,0,0
2018-01-04,Александровский МО,0,0,1,0,1,0
2018-01-04,Бардымский МО,0,0,0,0,2,0
2018-01-04,Березники ГО,2,0,2,0,2,0
2018-01-04,Березовский МО,0,0,0,0,0,0
2018-01-04,Большесосновский МО,0,0,0,0,0,0
2018-01-04,Верещагинский ГО,1,0,0,0,0,0
2018-01-04,Гайнский МО,0,0,0,0,0,0
2018-01-04,Горнозаводский ГО,0,0,0,0,1,0
2018-01-04,Губахинский МО,0,0,1,0,1,0
2018-01-04,Добрянский ГО,0,0,2,0,0,0
2018-01-04,Еловский МО,0,0,0,0,0,0
2018-01-04,ЗАТО Звездный,0,2,0,0,0,0
2018-01-04,Ильинский ГО,0,0,0,0,0,0
2018-01-04,Карагайский МО,0,0,2,0,0,0
2018-01-04,Кизеловский ГО,0,0,0,0,1,0
2018-01-04,Кишертский МО,1,0,0,0,0,0
2018-01-04,Косинский МО,0,0,0,0,0,0
2018-01-04,Кочевский МО,0,0,0,0,1,0
2018-01-04,Красновишерский ГО,0,0,0,0,0,0
2018-01-04,Краснокамский ГО,2,0,2,0,1,0
2018-01-04,Кудымкарский МО,0,0,1,0,0,0
2018-01-04,Куединский МО,2,0,2,0,2,0
2018-01-04,Кунгурский МО,2,0,2,0,1,0
2018-01-04,Лысьвенский ГО,0,0,0,0,1,0
2018-01-04,Нытвенский ГО,0,0,0,0,0,1
2018-01-04,Октябрьский ГО,0,0,0,0,0,0
2018-01-04,Ординский МО,0,0,0,0,0,0
2018-01-04,Осинский ГО,0,0,0,0,0,0
2018-01-04,Оханский ГО,0,0,0,0,1,0
2018-01-04,Очерский ГО,0,0,2,0,0,0
2018-01-04,Пермский ГО,2,0,0,0,1,0
2018-01-04,Пермский МО,2,0,0,0,1,0
2018-01-04,Сивинский МО,0,0,0,0,0,0
2018-01-04,Соликамский ГО,2,0,2,0,1,0
2018-01-04,Суксунский ГО,0,0,0,0,0,1
2018-01-04,Уинский МО,0,0,0,0,1,0
2018-01-04,Чайковский ГО,0,0,0,0,0,0
2018-01-04,Частинский МО,0,1,1,0,1,0
2018-01-04,Чердынский ГО,0,0,1,0,0,0
2018-01-04,Чернушинский ГО,0,0,0,0,2,0
2018-01-04,Чусовской ГО,1,0,2,0,1,0
2018-01-04,Юрлинский МО,0,0,0,0,0,0
2018-01-04,Юсьвинский МО,0,0,1,0,0,0
2018-01-05,Александровский МО,1,0,0,0,0,0
2018-01-05,Бардымский МО,0,0,0,0,2,0
2018-01-05,Березники ГО,2,0,1,0,2,0
2018-01-05,Березовский МО,0,0,0,0,0,0
2018-01-05,Большесосновский МО,0,0,0,0,0,0
2018-01-05,Верещагинский ГО,2,1,0,0,0,1
2018-01-05,Гайнский МО,0,0,0,1,0,1
2018-01-05,Горнозаводский ГО,0,0,0,0,1,0
2018-01-05,Губахинский МО,1,0,0,0,0,0
2018-01-05,Добрянский ГО,2,1,1,0,0,0
2018-01-05,Еловский МО,0,0,0,0,0,0
2018-01-05,ЗАТО Звездный,2,2,0,0,0,1
2018-01-05,Ильинский ГО,0,0,0,0,0,0
2018-01-05,Карагайский МО,1,0,1,0,0,0
2018-01-05,Кизеловский ГО,0,0,0,0,1,0
2018-01-05,Кишертский МО,1,0,0,0,0,1
2018-01-05,Косинский МО,0,0,0,0,0,0
2018-01-05,Кочевский МО,0,0,0,0,1,0
2018-01-05,Красновишерский ГО,1,0,0,0,0,0
2018-01-05,Краснокамский ГО,2,0,1,0,0,0
2018-01-05,Кудымкарский МО,1,1,0,0,0,0
2018-01-05,Куединский МО,2,0,1,0,1,0
2018-01-05,Кунгурский МО,2,0,1,0,1,0
2018-01-05,Лысьвенский ГО,2,0,0,0,0,0
2018-01-05,Нытвенский ГО,0,0,1,0,0,0
2018-01-05,Октябрьский ГО,0,0,1,0,0,0
2018-01-05,Ординский МО,0,0,0,0,0,0
2018-01-05,Осинский ГО,0,0,1,0,0,0
2018-01-05,Оханский ГО,1,0,0,0,1,0
2018-01-05,Очерский ГО,0,0,2,0,0,0
2018-01-05,Пермский ГО,2,1,0,0,1,1
2018-01-05,Пермский МО,2,1,1,0,1,1
2018-01-05,Сивинский МО,0,0,0,0,0,0
2018-01-05,Соликамский ГО,2,0,2,0,0,0
2018-01-05,Суксунский ГО,0,0,1,0,0,0
2018-01-05,Уинский МО,1,0,0,0,0,0
2018-01-05,Чайковский ГО,1,0,0,0,0,0
2018-01-05,Частинский МО,0,2,0,0,1,0
2018-01-05,Чердынский ГО,1,0,0,0,0,0
2018-01-05,Чернушинский ГО,1,0,0,0,1,0
2018-01-05,Чусовской ГО,2,0,2,0,0,0
2018-01-05,Юрлинский МО,0,0,0,0,0,0
2018-01-05,Юсьвинский МО,1,0,1,0,0,0
2018-01-06,Александровский МО,0,0,1,0,0,0
2018-01-06,Бардымский МО,0,0,0,0,1,0
2018-01-06,Березники ГО,2,0,1,0,2,0
2018-01-06,Березовский МО,0,0,0,0,0,0
2018-01-06,Большесосновский МО,0,0,0,0,0,0
2018-01-06,Верещагинский ГО,2,1,0,0,0,1
2018-01-06,Гайнский МО,0,0,0,0,0,1
2018-01-06,Горнозаводский ГО,0,0,0,0,0,0
2018-01-06,Губахинский МО,0,0,0,0,0,0
2018-01-06,Добрянский ГО,1,0,1,0,1,0
2018-01-06,Еловский МО,0,0,0,0,0,0
2018-01-06,ЗАТО Звездный,0,2,0,0,0,1
2018-01-06,Ильинский ГО,0,0,0,0,0,0
2018-01-06,Карагайский МО,1,0,1,0,0,0
2018-01-06,Кизеловский ГО,0,0,0,0,0,0
2018-01-06,Кишертский МО,0,0,0,0,0,1
2018-01-06,Косинский МО,0,0,0,0,0,0
2018-01-06,Кочевский МО,0,0,0,0,0,0
2018-01-06,Красновишерский ГО,0,0,0,0,0,0
2018-01-06,Краснокамский ГО,2,0,0,0,0,0
2018-01-06,Кудымкарский МО,0,0,1,0,0,0
2018-01-06,Куединский МО,2,0,0,0,1,0
2018-01-06,Кунгурский МО,2,0,1,0,1,0
2018-01-06,Лысьвенский ГО,1,0,0,0,0,0
2018-01-06,Нытвенский ГО,0,0,0,0,0,0
2018-01-06,Октябрьский ГО,0,0,1,0,0,0
2018-01-06,Ординский МО,0,0,0,0,0,0
2018-01-06,Осинский ГО,0,0,0,0,0,0
2018-01-06,Оханский ГО,0,0,0,0,0,0
2018-01-06,Очерский ГО,0,0,1,0,0,0
2018-01-06,Пермский ГО,2,2,0,0,2,1
2018-01-06,Пермский МО,2,2,0,0,1,1
2018-01-06,Сивинский МО,0,0,0,0,0,0
2018-01-06,Соликамский ГО,2,0,1,0,0,0
2018-01-06,Суксунский ГО,0,0,1,0,0,0
2018-01-06,Уинский МО,0,0,0,0,0,0
2018-01-06,Чайковский ГО,0,0,0,0,0,0
2018-01-06,Частинский МО,0,1,0,0,1,0
2018-01-06,Чердынский ГО,0,0,1,0,0,0
2018-01-06,Чернушинский ГО,1,0,0,0,1,0
2018-01-06,Чусовской ГО,1,0,2,0,0,0
2018-01-06,Юрлинский МО,0,0,0,0,0,0
2018-01-06,Юсьвинский МО,1,0,1,0,0,0
2018-01-07,Александровский МО,0,0,1,0,0,0
2018-01-07,Бардымский МО,0,0,0,0,1,0
2018-01-07,Березники ГО,2,0,2,0,2,0
2018-01-07,Березовский МО,0,0,0,0,0,0
2018-01-07,Большесосновский МО,0,0,0,0,0,0
2018-01-07,Верещагинский ГО,2,1,1,1,0,1
2018-01-07,Гайнский МО,0,0,0,0,0,1
2018-01-07,Горнозаводский ГО,0,0,0,0,0,0
2018-01-07,Губахинский МО,0,0,1,0,0,0
2018-01-07,Добрянский ГО,0,0,1,0,0,0
2018-01-07,Еловский МО,0,0,0,0,0,0
2018-01-07,ЗАТО Звездный,1,2,1,1,0,1
2018-01-07,Ильинский ГО,0,0,0,0,0,0
2018-01-07,Карагайский МО,0,0,1,0,0,0
2018-01-07,Кизеловский ГО,0,0,0,0,0,0
2018-01-07,Кишертский МО,1,0,0,0,0,1
2018-01-07,Косинский МО,0,0,0,0,0,0
2018-01-07,Кочевский МО,0,0,0,0,0,0
2018-01-07,Красновишерский ГО,0,0,0,0,0,0
2018-01-07,Краснокамский ГО,2,0,2,0,0,0
2018-01-07,Кудымкарский МО,0,0,1,0,0,0
2018-01-07,Куединский МО,2,0,2,0,1,0
2018-01-07,Кунгурский МО,2,0,2,0,1,0
2018-01-07,Лысьвенский ГО,0,0,0,0,0,0
2018-01-07,Нытвенский ГО,0,0,0,0,0,0
2018-01-07,Октябрьский ГО,0,0,0,0,0,0
2018-01-07,Ординский МО,0,0,0,0,0,0
2018-01-07,Осинский ГО,0,0,0,0,0,0
2018-01-07,Оханский ГО,0,0,0,0,0,0
2018-01-07,Очерский ГО,0,0,2,0,0,0
2018-01-07,Пермский ГО,2,1,0,0,1,1
2018-01-07,Пермский МО,2,1,0,0,1,1
2018-01-07,Сивинский МО,0,0,0,0,0,0
2018-01-07,Соликамский ГО,2,0,2,0,0,0
2018-01-07,Суксунский ГО,0,0,0,0,0,0
2018-01-07,Уинский МО,0,0,0,0,1,0
2018-01-07,Чайковский ГО,0,0,0,0,0,0
2018-01-07,Частинский МО,0,1,1,0,0,0
2018-01-07,Чердынский ГО,0,0,1,0,0,0
2018-01-07,Чернушинский ГО,1,0,0,0,1,0
2018-01-07,Чусовской ГО,1,0,2,0,0,0
2018-01-07,Юрлинский МО,0,0,0,0,0,0
2018-01-07,Юсьвинский МО,0,0,1,0,0,0
2018-01-08,Александровский МО,1,0,0,0,0,0
2018-01-08,Бардымский МО,0,0,0,0,1,0
2018-01-08,Березники ГО,2,0,1,0,2,0
2018-01-08,Березовский МО,0,0,0,0,0,0
2018-01-08,Большесосновский МО,0,0,0,0,0,0
2018-01-08,Верещагинский ГО,1,0,0,1,0,0
2018-01-08,Гайнский МО,0,0,1,1,0,0
2018-01-08,Горнозаводский ГО,0,0,0,0,1,0
2018-01-08,Губахинский МО,1,0,0,0,0,0
2018-01-08,Добрянский ГО,2,0,1,0,0,0
2018-01-08,Еловский МО,0,0,0,0,0,0
2018-01-08,ЗАТО Звездный,1,1,0,1,0,0
2018-01-08,Ильинский ГО,1,0,0,0,0,0
2018-01-08,Карагайский МО,1,0,1,0,0,0
2018-01-08,Кизеловский ГО,0,0,0,0,0,0
2018-01-08,Кишертский МО,1,0,0,1,0,0
2018-01-08,Косинский МО,0,0,0,0,0,0
2018-01-08,Кочевский МО,0,0,0,0,0,0
2018-01-08,Красновишерский ГО,1,0,0,1,0,0
2018-01-08,Краснокамский ГО,2,0,2,0,0,0
2018-01-08,Кудымкарский МО,1,0,0,0,0,0
2018-01-08,Куединский МО,2,0,1,0,1,0
2018-01-08,Кунгурский МО,2,0,2,0,1,1
2018-01-08,Лысьвенский ГО,2,0,0,0,0,0
2018-01-08,Нытвенский ГО,0,0,0,0,0,0
2018-01-08,Октябрьский ГО,0,0,0,0,0,0
2018-01-08,Ординский МО,0,0,0,0,0,0
2018-01-08,Осинский ГО,0,0,0,0,0,0
2018-01-08,Оханский ГО,1,0,0,0,1,0
2018-01-08,Очерский ГО,0,0,1,0,0,0
2018-01-08,Пермский ГО,2,0,0,0,1,0
2018-01-08,Пермский МО,2,0,1,0,0,0
2018-01-08,Сивинский МО,1,0,0,0,0,0
2018-01-08,Соликамский ГО,2,0,1,1,1,0
2018-01-08,Суксунский ГО,0,0,0,0,0,0
2018-01-08,Уинский МО,1,0,0,1,1,0
2018-01-08,Чайковский ГО,1,0,0,0,0,0
2018-01-08,Частинский МО,0,0,1,0,1,0
2018-01-08,Чердынский ГО,1,0,0,0,0,0
2018-01-08,Чернушинский ГО,1,0,0,0,2,0
2018-01-08,Чусовской ГО,1,0,2,0,0,0
2018-01-08,Юрлинский МО,0,0,0,0,0,0
2018-01-08,Юсьвинский МО,0,0,0,0,0,0
2018-01-09,Александровский МО,1,0,0,0,2,0
2018-01-09,Бардымский МО,0,0,0,0,2,0
2018-01-09,Березники ГО,1,0,0,0,2,0
2018-01-09,Березовский МО,0,0,0,0,0,0
2018-01-09,Большесосновский МО,0,0,0,0,0,0
2018-01-09,Верещагинский ГО,2,0,0,0,1,0
2018-01-09,Гайнский МО,0,0,0,0,0,0
2018-01-09,Горнозаводский ГО,0,0,0,0,2,0
2018-01-09,Губахинский МО,1,0,0,0,2,0
2018-01-09,Добрянский ГО,2,0,0,0,2,0
2018-01-09,Еловский МО,0,0,0,0,0,0
2018-01-09,ЗАТО Звездный,2,1,0,0,1,0
2018-01-09,Ильинский ГО,0,0,0,0,0,0
2018-01-09,Карагайский МО,1,0,0,0,2,0
2018-01-09,Кизеловский ГО,0,0,0,0,2,0
2018-01-09,Кишертский МО,2,0,0,0,1,0
2018-01-09,Косинский МО,0,0,0,0,0,0
2018-01-09,Кочевский МО,0,0,0,0,2,0
2018-01-09,Красновишерский ГО,1,0,0,0,2,0
2018-01-09,Краснокамский ГО,2,0,0,0,2,0
2018-01-09,Кудымкарский МО,1,0,0,0,2,0
2018-01-09,Куединский МО,2,0,0,0,2,0
2018-01-09,Кунгурский МО,2,0,0,0,2,0
2018-01-09,Лысьвенский ГО,1,0,0,0,2,0
2018-01-09,Нытвенский ГО,0,0,1,0,0,0
2018-01-09,Октябрьский ГО,0,0,0,0,0,0
2018-01-09,Ординский МО,0,0,0,0,0,0
2018-01-09,Осинский ГО,0,0,0,0,1,0
2018-01-09,Оханский ГО,1,0,0,0,2,0
2018-01-09,Очерский ГО,0,0,0,0,2,0
2018-01-09,Пермский ГО,2,0,0,0,2,0
2018-01-09,Пермский МО,2,0,0,0,2,0
2018-01-09,Сивинский МО,0,0,0,0,2,0
2018-01-09,Соликамский ГО,2,0,0,0,2,0
2018-01-09,Суксунский ГО,0,0,1,0,0,0
2018-01-09,Уинский МО,1,0,0,0,2,0
2018-01-09,Чайковский ГО,1,0,0,0,2,0
2018-01-09,Частинский МО,0,0,0,0,2,0
2018-01-09,Чердынский ГО,0,0,0,0,2,0
2018-01-09,Чернушинский ГО,1,0,0,0,2,0
2018-01-09,Чусовской ГО,1,0,0,0,2,0
2018-01-09,Юрлинский МО,0,0,0,0,1,0
2018-01-09,Юсьвинский МО,0,0,0,0,2,0
2018-01-10,Александровский МО,1,0,1,0,2,0
2018-01-10,Бардымский МО,0,0,0,0,2,0
2018-01-10,Березники ГО,1,0,1,0,2,0
2018-01-10,Березовский МО,0,0,0,0,0,0
2018-01-10,Большесосновский МО,0,0,0,0,0,0
2018-01-10,Верещагинский ГО,1,0,0,0,1,0
2018-01-10,Гайнский МО,1,0,1,0,1,0
2018-01-10,Горнозаводский ГО,0,0,0,0,2,0
2018-01-10,Губахинский МО,1,0,1,0,2,0
2018-01-10,Добрянский ГО,2,0,2,0,2,0
2018-01-10,Еловский МО,0,0,0,0,0,0
2018-01-10,ЗАТО Звездный,0,2,0,0,1,0
2018-01-10,Ильинский ГО,0,0,0,0,0,0
2018-01-10,Карагайский МО,1,0,2,0,2,0
2018-01-10,Кизеловский ГО,0,0,0,0,2,0
2018-01-10,Кишертский МО,1,0,0,0,2,0
2018-01-10,Косинский МО,0,0,0,0,0,0
2018-01-10,Кочевский МО,0,0,0,0,2,0
2018-01-10,Красновишерский ГО,0,0,0,0,2,0
2018-01-10,Краснокамский ГО,2,0,2,0,2,0
2018-01-10,Кудымкарский МО,1,0,1,0,2,0
2018-01-10,Куединский МО,2,0,2,0,2,0
2018-01-10,Кунгурский МО,2,0,2,0,2,0
2018-01-10,Лысьвенский ГО,1,0,1,0,2,0
2018-01-10,Нытвенский ГО,0,0,1,0,1,0
2018-01-10,Октябрьский ГО,0,0,1,0,0,0
2018-01-10,Ординский МО,0,0,0,0,0,0
2018-01-10,Осинский ГО,0,0,1,0,2,0
2018-01-10,Оханский ГО,0,0,1,0,2,0
2018-01-10,Очерский ГО,0,0,1,0,2,0
2018-01-10,Пермский ГО,2,0,0,0,2,0
2018-01-10,Пермский МО,2,0,0,0,2,0
2018-01-10,Сивинский МО,1,0,1,0,2,0
2018-01-10,Соликамский ГО,2,0,2,0,2,0
2018-01-10,Суксунский ГО,0,0,1,0,0,0
2018-01-10,Уинский МО,0,0,0,0,2,0
2018-01-10,Чайковский ГО,1,0,1,0,2,0
2018-01-10,Частинский МО,0,1,2,0,2,0
2018-01-10,Чердынский ГО,1,0,1,0,2,0
2018-01-10,Чернушинский ГО,1,0,1,0,2,0
2018-01-10,Чусовской ГО,2,0,2,0,2,0
2018-01-10,Юрлинский МО,0,0,0,0,1,0
2018-01-10,Юсьвинский МО,1,0,1,0,2,0
2018-01-11,Александровский МО,2,0,2,2,1,0
2018-01-11,Бардымский МО,1,0,1,1,2,0
2018-01-11,Березники ГО,1,0,1,0,2,0
2018-01-11,Березовский МО,1,0,0,0,0,0
2018-01-11,Большесосновский МО,1,0,0,0,0,0
2018-01-11,Верещагинский ГО,1,1,0,1,1,0
2018-01-11,Гайнский МО,0,0,0,1,0,0
2018-01-11,Горнозаводский ГО,0,0,1,2,1,0
2018-01-11,Губахинский МО,2,0,2,2,1,0
2018-01-11,Добрянский ГО,2,0,2,1,1,0
2018-01-11,Еловский МО,0,0,0,0,0,0
2018-01-11,ЗАТО Звездный,0,2,0,0,0,0
2018-01-11,Ильинский ГО,2,0,0,0,0,0
2018-01-11,Карагайский МО,1,0,2,1,1,0
2018-01-11,Кизеловский ГО,0,0,1,2,1,0
2018-01-11,Кишертский МО,1,0,0,1,1,0
2018-01-11,Косинский МО,0,0,0,0,0,0
2018-01-11,Кочевский МО,0,0,1,2,1,0
2018-01-11,Красновишерский ГО,0,0,0,1,1,0
2018-01-11,Краснокамский ГО,2,0,2,1,2,0
2018-01-11,Кудымкарский МО,1,1,2,1,1,0
2018-01-11,Куединский МО,2,1,2,1,2,0
2018-01-11,Кунгурский МО,2,0,2,1,2,0
2018-01-11,Лысьвенский ГО,2,0,1,1,1,0
2018-01-11,Нытвенский ГО,1,0,2,0,0,0
2018-01-11,Октябрьский ГО,0,0,2,0,0,0
2018-01-11,Ординский МО,0,0,0,0,0,0
2018-01-11,Осинский ГО,0,0,2,1,1,0
2018-01-11,Оханский ГО,1,0,1,0,2,0
2018-01-11,Очерский ГО,0,0,2,0,1,0
2018-01-11,Пермский ГО,2,1,0,1,2,0
2018-01-11,Пермский МО,2,1,0,0,1,0
2018-01-11,Сивинский МО,2,1,1,1,1,0
2018-01-11,Соликамский ГО,2,1,2,1,1,0
2018-01-11,Суксунский ГО,0,1,2,0,0,0
2018-01-11,Уинский МО,0,0,0,0,1,0
2018-01-11,Чайковский ГО,1,0,1,1,1,0
2018-01-11,Частинский МО,0,2,2,1,2,0
2018-01-11,Чердынский ГО,1,0,2,1,1,0
2018-01-11,Чернушинский ГО,1,0,1,1,2,0
2018-01-11,Чусовской ГО,2,0,2,0,1,0
2018-01-11,Юрлинский МО,0,0,1,1,1,0
2018-01-11,Юсьвинский МО,1,0,2,1,1,0
2018-01-12,Александровский МО,2,0,2,2,1,0
2018-01-12,Бардымский МО,1,0,2,1,2,0
2018-01-12,Березники ГО,0,0,0,0,2,0
2018-01-12,Березовский МО,1,0,0,0,0,0
2018-01-12,Большесосновский МО,1,1,0,0,0,0
2018-01-12,Верещагинский ГО,1,1,1,1,2,0
2018-01-12,Гайнский МО,0,0,2,1,1,1
2018-01-12,Горнозаводский ГО,0,0,1,2,1,0
2018-01-12,Губахинский МО,2,0,2,1,1,0
2018-01-12,Добрянский ГО,2,0,2,1,2,0
2018-01-12,Еловский МО,0,0,1,0,0,0
2018-01-12,ЗАТО Звездный,0,2,1,0,2,0
2018-01-12,Ильинский ГО,1,1,0,0,0,0
2018-01-12,Карагайский МО,1,0,2,1,1,0
2018-01-12,Кизеловский ГО,0,0,1,2,1,0
2018-01-12,Кишертский МО,0,0,1,1,2,0
2018-01-12,Косинский МО,0,0,2,1,0,0
2018-01-12,Кочевский МО,0,0,1,2,1,0
2018-01-12,Красновишерский ГО,0,0,1,1,2,0
2018-01-12,Краснокамский ГО,1,1,2,1,2,0
2018-01-12,Кудымкарский МО,2,0,2,2,1,0
2018-01-12,Куединский МО,1,0,1,0,2,0
2018-01-12,Кунгурский МО,2,1,2,1,2,0
2018-01-12,Лысьвенский ГО,1,0,2,1,2,0
2018-01-12,Нытвенский ГО,0,0,2,1,0,0
2018-01-12,Октябрьский ГО,0,0,2,1,0,0
2018-01-12,Ординский МО,0,1,0,0,0,0
2018-01-12,Осинский ГО,0,0,2,1,1,0
