,Местное время,T,meteostation
1335,2022-07-03 08:00:00,15.3,Оса
1342,2022-07-02 08:00:00,12.0,Оса
1350,2022-07-01 08:00:00,13.5,Оса
1357,2022-06-30 08:00:00,14.5,Оса
1364,2022-06-29 08:00:00,8.6,Оса
1372,2022-06-28 08:00:00,8.8,Оса
1380,2022-06-27 08:00:00,13.3,Оса
1387,2022-06-26 08:00:00,13.2,Оса
1395,2022-06-25 08:00:00,16.7,Оса
1407,2022-06-23 08:00:00,16.0,Оса
1414,2022-06-22 08:00:00,15.7,Оса
1422,2022-06-21 08:00:00,12.7,Оса
1430,2022-06-20 08:00:00,16.2,Оса
1437,2022-06-19 08:00:00,16.4,Оса
1445,2022-06-18 08:00:00,14.2,Оса
1453,2022-06-17 08:00:00,16.8,Оса
1461,2022-06-16 08:00:00,19.5,Оса
1469,2022-06-15 08:00:00,18.3,Оса
1477,2022-06-14 08:00:00,12.6,Оса
1491,2022-06-12 08:00:00,7.2,Оса
1499,2022-06-11 08:00:00,14.1,Оса
1507,2022-06-10 08:00:00,12.7,Оса
1515,2022-06-09 08:00:00,12.6,Оса
1523,2022-06-08 08:00:00,13.9,Оса
1531,2022-06-07 08:00:00,13.3,Оса
1539,2022-06-06 08:00:00,19.7,Оса
1543,2022-06-05 08:00:00,13.5,Оса
1551,2022-06-04 08:00:00,15.1,Оса
1557,2022-06-03 08:00:00,17.5,Оса
1565,2022-06-02 08:00:00,8.5,Оса
1573,2022-06-01 08:00:00,12.0,Оса
1581,2022-05-31 08:00:00,11.4,Оса
1589,2022-05-30 08:00:00,12.9,Оса
1597,2022-05-29 08:00:00,11.7,Оса
1605,2022-05-28 08:00:00,13.1,Оса
1613,2022-05-27 08:00:00,10.7,Оса
1621,2022-05-26 08:00:00,6.8,Оса
1629,2022-05-25 08:00:00,10.1,Оса
1637,2022-05-24 08:00:00,6.1,Оса
1645,2022-05-23 08:00:00,4.7,Оса
1653,2022-05-22 08:00:00,2.8,Оса
1661,2022-05-21 08:00:00,4.9,Оса
1669,2022-05-20 08:00:00,5.6,Оса
1677,2022-05-19 08:00:00,5.9,Оса
1685,2022-05-18 08:00:00,9.8,Оса
1693,2022-05-17 08:00:00,11.0,Оса
1701,2022-05-16 08:00:00,9.6,Оса
1709,2022-05-15 08:00:00,10.4,Оса
1717,2022-05-14 08:00:00,10.0,Оса
1725,2022-05-13 08:00:00,8.5,Оса
1733,2022-05-12 08:00:00,7.5,Оса
1741,2022-05-11 08:00:00,13.0,Оса
1749,2022-05-10 08:00:00,13.5,Оса
1757,2022-05-09 08:00:00,8.8,Оса
1765,2022-05-08 08:00:00,9.1,Оса
1773,2022-05-07 08:00:00,6.5,Оса
1781,2022-05-06 08:00:00,1.8,Оса
1789,2022-05-05 08:00:00,5.1,Оса
1797,2022-05-04 08:00:00,12.0,Оса
1805,2022-05-03 08:00:00,5.8,Оса
1813,2022-05-02 08:00:00,0.4,Оса
1821,2022-05-01 08:00:00,3.4,Оса
1829,2022-04-30 08:00:00,0.0,Оса
1837,2022-04-29 08:00:00,0.9,Оса
1845,2022-04-28 08:00:00,14.3,Оса
1853,2022-04-27 08:00:00,12.4,Оса
1861,2022-04-26 08:00:00,9.9,Оса
1869,2022-04-25 08:00:00,6.7,Оса
1877,2022-04-24 08:00:00,-0.3,Оса
1885,2022-04-23 08:00:00,-1.1,Оса
1893,2022-04-22 08:00:00,-2.2,Оса
1901,2022-04-21 08:00:00,3.9,Оса
1909,2022-04-20 08:00:00,3.2,Оса
1917,2022-04-19 08:00:00,1.8,Оса
1925,2022-04-18 08:00:00,0.4,Оса
1933,2022-04-17 08:00:00,0.1,Оса
1941,2022-04-16 08:00:00,0.1,Оса
1949,2022-04-15 08:00:00,8.0,Оса
1957,2022-04-14 08:00:00,0.7,Оса
1965,2022-04-13 08:00:00,2.8,Оса
1973,2022-04-12 08:00:00,-0.3,Оса
1981,2022-04-11 08:00:00,6.9,Оса
1989,2022-04-10 08:00:00,4.6,Оса
1997,2022-04-09 08:00:00,-0.4,Оса
2003,2022-04-08 08:00:00,0.6,Оса
2011,2022-04-07 08:00:00,1.5,Оса
2019,2022-04-06 08:00:00,-2.4,Оса
2027,2022-04-05 08:00:00,-0.1,Оса
2035,2022-04-04 08:00:00,3.2,Оса
2043,2022-04-03 08:00:00,2.3,Оса
2051,2022-04-02 08:00:00,-1.6,Оса
2059,2022-04-01 08:00:00,-6.2,Оса
2067,2022-03-31 08:00:00,-14.0,Оса
2075,2022-03-30 08:00:00,-4.0,Оса
2083,2022-03-29 08:00:00,-7.9,Оса
2091,2022-03-28 08:00:00,-0.8,Оса
2099,2022-03-27 08:00:00,-1.0,Оса
2107,2022-03-26 08:00:00,-14.5,Оса
2115,2022-03-25 08:00:00,-1.1,Оса
2123,2022-03-24 08:00:00,-6.8,Оса
2131,2022-03-23 08:00:00,-5.7,Оса
2139,2022-03-22 08:00:00,-5.8,Оса
2147,2022-03-21 08:00:00,-2.3,Оса
2155,2022-03-20 08:00:00,-15.3,Оса
2163,2022-03-19 08:00:00,-13.8,Оса
2171,2022-03-18 08:00:00,-20.1,Оса
2179,2022-03-17 08:00:00,-25.0,Оса
2187,2022-03-16 08:00:00,-22.4,Оса
2195,2022-03-15 08:00:00,-24.1,Оса
2203,2022-03-14 08:00:00,-10.4,Оса
2211,2022-03-13 08:00:00,-27.9,Оса
2219,2022-03-12 08:00:00,-28.5,Оса
2227,2022-03-11 08:00:00,-22.5,Оса
2235,2022-03-10 08:00:00,-29.2,Оса
2243,2022-03-09 08:00:00,-31.6,Оса
2251,2022-03-08 08:00:00,-30.6,Оса
2259,2022-03-07 08:00:00,-14.0,Оса
2267,2022-03-06 08:00:00,-11.0,Оса
2275,2022-03-05 08:00:00,-9.6,Оса
2283,2022-03-04 08:00:00,-7.9,Оса
2291,2022-03-03 08:00:00,-10.5,Оса
2299,2022-03-02 08:00:00,-18.0,Оса
2307,2022-03-01 08:00:00,-10.4,Оса
2315,2022-02-28 08:00:00,-1.8,Оса
2323,2022-02-27 08:00:00,-1.9,Оса
2331,2022-02-26 08:00:00,-13.3,Оса
2339,2022-02-25 08:00:00,-3.7,Оса
2347,2022-02-24 08:00:00,1.3,Оса
2355,2022-02-23 08:00:00,1.6,Оса
2363,2022-02-22 08:00:00,-4.1,Оса
2371,2022-02-21 08:00:00,1.0,Оса
2379,2022-02-20 08:00:00,-5.3,Оса
2387,2022-02-19 08:00:00,-8.7,Оса
2395,2022-02-18 08:00:00,-11.5,Оса
2403,2022-02-17 08:00:00,-12.4,Оса
2411,2022-02-16 08:00:00,-4.5,Оса
2419,2022-02-15 08:00:00,-9.3,Оса
2427,2022-02-14 08:00:00,-7.6,Оса
2435,2022-02-13 08:00:00,-3.5,Оса
2443,2022-02-12 08:00:00,-7.3,Оса
2451,2022-02-11 08:00:00,-6.6,Оса
2459,2022-02-10 08:00:00,-5.3,Оса
2467,2022-02-09 08:00:00,-22.7,Оса
2475,2022-02-08 08:00:00,-15.1,Оса
2483,2022-02-07 08:00:00,-9.1,Оса
2491,2022-02-06 08:00:00,-7.9,Оса
2499,2022-02-05 08:00:00,-3.6,Оса
2507,2022-02-04 08:00:00,-4.2,Оса
2515,2022-02-03 08:00:00,-1.9,Оса
2523,2022-02-02 08:00:00,-1.4,Оса
2531,2022-02-01 08:00:00,-3.1,Оса
2539,2022-01-31 08:00:00,-9.0,Оса
2547,2022-01-30 08:00:00,-22.4,Оса
2555,2022-01-29 08:00:00,-19.4,Оса
2563,2022-01-28 08:00:00,-17.8,Оса
2571,2022-01-27 08:00:00,-14.2,Оса
2579,2022-01-26 08:00:00,-16.8,Оса
2587,2022-01-25 08:00:00,-10.5,Оса
2595,2022-01-24 08:00:00,-8.0,Оса
2603,2022-01-23 08:00:00,-9.4,Оса
2611,2022-01-22 08:00:00,-13.3,Оса
2619,2022-01-21 08:00:00,-7.6,Оса
2627,2022-01-20 08:00:00,-4.2,Оса
2635,2022-01-19 08:00:00,-1.4,Оса
2643,2022-01-18 08:00:00,-5.3,Оса
2651,2022-01-17 08:00:00,-11.7,Оса
2659,2022-01-16 08:00:00,-14.0,Оса
2667,2022-01-15 08:00:00,-11.5,Оса
2675,2022-01-14 08:00:00,-8.6,Оса
2683,2022-01-13 08:00:00,-25.5,Оса
2691,2022-01-12 08:00:00,-22.8,Оса
2699,2022-01-11 08:00:00,-15.8,Оса
2707,2022-01-10 08:00:00,-11.3,Оса
2715,2022-01-09 08:00:00,-12.3,Оса
2723,2022-01-08 08:00:00,-3.7,Оса
2731,2022-01-07 08:00:00,-6.6,Оса
2739,2022-01-06 08:00:00,-28.7,Оса
2747,2022-01-05 08:00:00,-18.8,Оса
2755,2022-01-04 08:00:00,-13.5,Оса
2763,2022-01-03 08:00:00,-9.5,Оса
2771,2022-01-02 08:00:00,-6.3,Оса
2779,2022-01-01 08:00:00,-16.6,Оса
2787,2021-12-31 08:00:00,-12.9,Оса
2795,2021-12-30 08:00:00,-20.5,Оса
2803,2021-12-29 08:00:00,-16.9,Оса
2811,2021-12-28 08:00:00,-15.3,Оса
2819,2021-12-27 08:00:00,-11.2,Оса
2827,2021-12-26 08:00:00,-8.3,Оса
2835,2021-12-25 08:00:00,-20.8,Оса
2843,2021-12-24 08:00:00,-23.5,Оса
2851,2021-12-23 08:00:00,-18.0,Оса
2859,2021-12-22 08:00:00,-4.5,Оса
2867,2021-12-21 08:00:00,-2.9,Оса
2875,2021-12-20 08:00:00,-6.9,Оса
2883,2021-12-19 08:00:00,-7.4,Оса
2891,2021-12-18 08:00:00,-4.0,Оса
2899,2021-12-17 08:00:00,-2.8,Оса
2907,2021-12-16 08:00:00,-4.6,Оса
2915,2021-12-15 08:00:00,-5.8,Оса
2923,2021-12-14 08:00:00,-8.8,Оса
2931,2021-12-13 08:00:00,-26.2,Оса
2939,2021-12-12 08:00:00,-26.4,Оса
2947,2021-12-11 08:00:00,-22.4,Оса
2955,2021-12-10 08:00:00,-4.8,Оса
2963,2021-12-09 08:00:00,-2.0,Оса
2971,2021-12-08 08:00:00,-15.3,Оса
2979,2021-12-07 08:00:00,-24.4,Оса
2987,2021-12-06 08:00:00,-17.3,Оса
2995,2021-12-05 08:00:00,-1.0,Оса
3003,2021-12-04 08:00:00,-0.1,Оса
3011,2021-12-03 08:00:00,-4.5,Оса
3019,2021-12-02 08:00:00,0.2,Оса
3027,2021-12-01 08:00:00,3.0,Оса
3035,2021-11-30 08:00:00,0.2,Оса
3043,2021-11-29 08:00:00,-1.7,Оса
3051,2021-11-28 08:00:00,-6.1,Оса
3059,2021-11-27 08:00:00,-0.2,Оса
3067,2021-11-26 08:00:00,-6.8,Оса
3075,2021-11-25 08:00:00,-11.4,Оса
3083,2021-11-24 08:00:00,-7.6,Оса
3091,2021-11-23 08:00:00,-3.8,Оса
3099,2021-11-22 08:00:00,-2.4,Оса
3107,2021-11-21 08:00:00,-2.8,Оса
3115,2021-11-20 08:00:00,-2.1,Оса
3123,2021-11-19 08:00:00,-2.0,Оса
3131,2021-11-18 08:00:00,-23.8,Оса
3139,2021-11-17 08:00:00,-2.5,Оса
3147,2021-11-16 08:00:00,-8.4,Оса
3155,2021-11-15 08:00:00,-14.1,Оса
3163,2021-11-14 08:00:00,-2.7,Оса
3171,2021-11-13 08:00:00,-1.0,Оса
3179,2021-11-12 08:00:00,-0.2,Оса
3187,2021-11-11 08:00:00,-7.3,Оса
3195,2021-11-10 08:00:00,-3.7,Оса
3203,2021-11-09 08:00:00,3.7,Оса
3211,2021-11-08 08:00:00,1.4,Оса
3219,2021-11-07 08:00:00,1.5,Оса
3227,2021-11-06 08:00:00,3.1,Оса
3235,2021-11-05 08:00:00,1.3,Оса
3243,2021-11-04 08:00:00,-4.5,Оса
3251,2021-11-03 08:00:00,-7.0,Оса
3259,2021-11-02 08:00:00,-2.3,Оса
3267,2021-11-01 08:00:00,6.0,Оса
3275,2021-10-31 08:00:00,5.0,Оса
3283,2021-10-30 08:00:00,-3.0,Оса
3291,2021-10-29 08:00:00,-4.8,Оса
3299,2021-10-28 08:00:00,1.2,Оса
3307,2021-10-27 08:00:00,0.5,Оса
3315,2021-10-26 08:00:00,-3.4,Оса
3323,2021-10-25 08:00:00,4.0,Оса
3331,2021-10-24 08:00:00,3.1,Оса
3339,2021-10-23 08:00:00,8.3,Оса
3347,2021-10-22 08:00:00,2.8,Оса
3355,2021-10-21 08:00:00,0.5,Оса
3363,2021-10-20 08:00:00,-2.4,Оса
3371,2021-10-19 08:00:00,6.6,Оса
3379,2021-10-18 08:00:00,4.6,Оса
3387,2021-10-17 08:00:00,4.5,Оса
3395,2021-10-16 08:00:00,5.6,Оса
3403,2021-10-15 08:00:00,7.6,Оса
3411,2021-10-14 08:00:00,1.1,Оса
3419,2021-10-13 08:00:00,2.3,Оса
3427,2021-10-12 08:00:00,7.6,Оса
3435,2021-10-11 08:00:00,7.4,Оса
3443,2021-10-10 08:00:00,5.3,Оса
3451,2021-10-09 08:00:00,-3.6,Оса
3459,2021-10-08 08:00:00,-5.7,Оса
3467,2021-10-07 08:00:00,1.3,Оса
3475,2021-10-06 08:00:00,3.7,Оса
3483,2021-10-05 08:00:00,-7.0,Оса
3491,2021-10-04 08:00:00,-2.6,Оса
3499,2021-10-03 08:00:00,4.7,Оса
3507,2021-10-02 08:00:00,4.8,Оса
3515,2021-10-01 08:00:00,7.0,Оса
3523,2021-09-30 08:00:00,-0.5,Оса
3531,2021-09-29 08:00:00,-2.3,Оса
3539,2021-09-28 08:00:00,2.8,Оса
3547,2021-09-27 08:00:00,3.7,Оса
3555,2021-09-26 08:00:00,8.0,Оса
3563,2021-09-25 08:00:00,7.8,Оса
3571,2021-09-24 08:00:00,0.1,Оса
3579,2021-09-23 08:00:00,-2.5,Оса
3587,2021-09-22 08:00:00,-2.9,Оса
3595,2021-09-21 08:00:00,5.9,Оса
3603,2021-09-20 08:00:00,4.5,Оса
3611,2021-09-19 08:00:00,4.1,Оса
3619,2021-09-18 08:00:00,4.8,Оса
3627,2021-09-17 08:00:00,7.2,Оса
3635,2021-09-16 08:00:00,6.2,Оса
3643,2021-09-15 08:00:00,11.4,Оса
3651,2021-09-14 08:00:00,12.2,Оса
3659,2021-09-13 08:00:00,1.9,Оса
3667,2021-09-12 08:00:00,6.2,Оса
3675,2021-09-11 08:00:00,5.2,Оса
3683,2021-09-10 08:00:00,8.2,Оса
3691,2021-09-09 08:00:00,10.5,Оса
3699,2021-09-08 08:00:00,6.5,Оса
3707,2021-09-07 08:00:00,2.2,Оса
3715,2021-09-06 08:00:00,6.1,Оса
3723,2021-09-05 08:00:00,7.0,Оса
3731,2021-09-04 08:00:00,13.6,Оса
3739,2021-09-03 08:00:00,14.7,Оса
3747,2021-09-02 08:00:00,15.9,Оса
3755,2021-09-01 08:00:00,8.8,Оса
3763,2021-08-31 08:00:00,5.3,Оса
3771,2021-08-30 08:00:00,4.8,Оса
3779,2021-08-29 08:00:00,7.1,Оса
3787,2021-08-28 08:00:00,10.4,Оса
3795,2021-08-27 08:00:00,12.0,Оса
3803,2021-08-26 08:00:00,14.9,Оса
3811,2021-08-25 08:00:00,21.1,Оса
3819,2021-08-24 08:00:00,19.0,Оса
3827,2021-08-23 08:00:00,18.1,Оса
3835,2021-08-22 08:00:00,24.4,Оса
3843,2021-08-21 08:00:00,22.2,Оса
3851,2021-08-20 08:00:00,19.5,Оса
3859,2021-08-19 08:00:00,19.2,Оса
3867,2021-08-18 08:00:00,18.1,Оса
3875,2021-08-17 08:00:00,20.6,Оса
3883,2021-08-16 08:00:00,14.1,Оса
3891,2021-08-15 08:00:00,16.9,Оса
3899,2021-08-14 08:00:00,18.4,Оса
3907,2021-08-13 08:00:00,13.3,Оса
3915,2021-08-12 08:00:00,12.4,Оса
3923,2021-08-11 08:00:00,13.8,Оса
3931,2021-08-10 08:00:00,15.5,Оса
3939,2021-08-09 08:00:00,12.5,Оса
3947,2021-08-08 08:00:00,13.5,Оса
3955,2021-08-07 08:00:00,13.4,Оса
3963,2021-08-06 08:00:00,16.6,Оса
3971,2021-08-05 08:00:00,19.4,Оса
3979,2021-08-04 08:00:00,20.0,Оса
3987,2021-08-03 08:00:00,20.5,Оса
3995,2021-08-02 08:00:00,15.4,Оса
4003,2021-08-01 08:00:00,20.7,Оса
4011,2021-07-31 08:00:00,17.1,Оса
4019,2021-07-30 08:00:00,14.8,Оса
4027,2021-07-29 08:00:00,12.6,Оса
4035,2021-07-28 08:00:00,12.0,Оса
4043,2021-07-27 08:00:00,14.1,Оса
4051,2021-07-26 08:00:00,10.0,Оса
4059,2021-07-25 08:00:00,14.4,Оса
4067,2021-07-24 08:00:00,16.4,Оса
4075,2021-07-23 08:00:00,15.0,Оса
4083,2021-07-22 08:00:00,20.2,Оса
4091,2021-07-21 08:00:00,20.0,Оса
4099,2021-07-20 08:00:00,20.8,Оса
4107,2021-07-19 08:00:00,15.1,Оса
4115,2021-07-18 08:00:00,19.7,Оса
4123,2021-07-17 08:00:00,18.2,Оса
4131,2021-07-16 08:00:00,15.1,Оса
4139,2021-07-15 08:00:00,15.5,Оса
4147,2021-07-14 08:00:00,15.9,Оса
4155,2021-07-13 08:00:00,17.5,Оса
4163,2021-07-12 08:00:00,13.7,Оса
4171,2021-07-11 08:00:00,14.6,Оса
4179,2021-07-10 08:00:00,23.1,Оса
4187,2021-07-09 08:00:00,20.0,Оса
4195,2021-07-08 08:00:00,19.3,Оса
4203,2021-07-07 08:00:00,17.2,Оса
4211,2021-07-06 08:00:00,17.0,Оса
4219,2021-07-05 08:00:00,14.7,Оса
4227,2021-07-04 08:00:00,18.8,Оса
4235,2021-07-03 08:00:00,20.1,Оса
4243,2021-07-02 08:00:00,18.4,Оса
4251,2021-07-01 08:00:00,25.8,Оса
4259,2021-06-30 08:00:00,25.9,Оса
4267,2021-06-29 08:00:00,23.8,Оса
4275,2021-06-28 08:00:00,22.2,Оса
4283,2021-06-27 08:00:00,20.7,Оса
4288,2021-06-26 08:00:00,,Оса
4296,2021-06-25 08:00:00,22.2,Оса
4304,2021-06-24 08:00:00,17.9,Оса
4312,2021-06-23 08:00:00,23.8,Оса
4320,2021-06-22 08:00:00,20.3,Оса
4328,2021-06-21 08:00:00,13.8,Оса
4336,2021-06-20 08:00:00,20.7,Оса
4344,2021-06-19 08:00:00,14.4,Оса
4352,2021-06-18 08:00:00,12.1,Оса
4360,2021-06-17 08:00:00,17.1,Оса
4368,2021-06-16 08:00:00,20.8,Оса
4376,2021-06-15 08:00:00,21.3,Оса
4384,2021-06-14 08:00:00,18.8,Оса
4392,2021-06-13 08:00:00,18.4,Оса
4400,2021-06-12 08:00:00,17.9,Оса
4408,2021-06-11 08:00:00,15.7,Оса
4416,2021-06-10 08:00:00,15.1,Оса
4424,2021-06-09 08:00:00,12.7,Оса
4432,2021-06-08 08:00:00,14.2,Оса
4440,2021-06-07 08:00:00,15.5,Оса
4448,2021-06-06 08:00:00,15.8,Оса
4456,2021-06-05 08:00:00,13.4,Оса
4464,2021-06-04 08:00:00,12.6,Оса
4472,2021-06-03 08:00:00,12.5,Оса
4480,2021-06-02 08:00:00,12.5,Оса
4488,2021-06-01 08:00:00,10.9,Оса
4496,2021-05-31 08:00:00,7.9,Оса
4504,2021-05-30 08:00:00,16.7,Оса
4512,2021-05-29 08:00:00,16.4,Оса
4520,2021-05-28 08:00:00,10.6,Оса
4528,2021-05-27 08:00:00,9.4,Оса
4536,2021-05-26 08:00:00,12.2,Оса
4544,2021-05-25 08:00:00,14.9,Оса
4552,2021-05-24 08:00:00,18.8,Оса
4560,2021-05-23 08:00:00,14.1,Оса
4568,2021-05-22 08:00:00,17.6,Оса
4576,2021-05-21 08:00:00,18.4,Оса
4583,2021-05-20 08:00:00,14.8,Оса
4591,2021-05-19 08:00:00,14.3,Оса
